"","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","P024","P025","P026","P027","P028","P029","P030","P031","P032","P033","P034","P035","P036","P037","P038","P039","P040","P041","P042","P043","P044","P045","P046","P047","P048","P049","P050","P051","P052","P053","P054","P055","P056","P057","P058","P059","P060","P061","P062","P063","P064","P065","P066","P067","P068","P069","P070","P071","P072","P073","P074","P075","P076","P077","P078","P079","P080","P081","P082","P083","P084","P085","P086","P087","P088","P089","P090","P091","P092","P093","P094","P095","P096","P097","P098","P099","P100"
"HS3ST1",9.28769,8.70396,6.23409,5.52712,7.50544,7.54803,7.45032,6.44252,5.91581,7.11357,7.8821,7.15733,9.97006,5.1938,7.44638,5.73991,6.79906,7.82294,7.91149,5.929,6.14378,7.53078,8.8045,6.52914,7.80577,5.70749,5.74241,6.18397,7.69093,7.5339,6.16285,6.50303,5.61239,6.01518,6.37168,5.40009,7.47027,6.94711,8.29623,6.18761,9.10906,6.64467,6.56677,6.84866,5.40827,6.82423,8.68111,7.14306,5.41995,6.86476,6.73382,7.7929,6.28715,6.88999,7.19319,6.6532,5.92996,6.03042,9.50307,7.75614,6.01444,8.96459,5.59572,10.13301,5.72064,6.13763,6.5562,7.05153,7.53368,7.73742,4.81535,8.23013,6.98716,6.03901,6.76572,8.98336,9.96045,7.51294,7.31745,5.80296,6.51893,8.31901,7.85116,5.94873,6.96526,6.33919,7.87035,6.9674,6.83575,9.2945,6.85265,7.06808,6.18167,8.79572,7.26553,6.29332,7.48667,6.65688,6.02778,6.62168
"USP28",7.56617,7.11986,7.80913,5.25547,6.38849,6.73534,6.5545,8.36097,5.86396,7.01025,6.74181,5.98584,9.27517,7.61736,8.14296,5.68551,6.9973,7.39665,6.49147,7.04967,7.03523,6.86494,6.82811,7.23102,7.29214,7.33821,6.96047,7.01734,7.09375,7.0641,6.52466,6.51726,6.10813,7.03059,7.43914,6.84166,6.16378,7.33655,6.71728,7.95049,7.22839,7.90028,7.98113,6.29463,7.75069,7.30124,7.04287,7.05102,7.72627,5.87799,5.64988,7.42215,7.58749,5.99781,7.00012,7.01617,5.7861,6.85686,5.93335,5.85086,8.20495,7.69748,7.17823,6.1925,5.57369,6.91413,5.98662,7.58303,6.94716,6.80509,6.25355,6.53756,7.58359,7.66749,7.54192,7.37918,6.40296,7.79559,7.17034,7.42323,7.36584,6.68499,5.02985,8.45038,6.59091,6.77977,5.98102,7.38851,7.42302,7.2837,7.70399,7.21754,5.58004,6.87824,7.34554,7.06783,5.31939,7.27079,6.16621,8.0136
"TTTY11",5.18628,5.16164,5.61436,5.24593,5.60117,5.32773,5.4075,5.23236,5.36115,5.31616,5.49733,5.47419,5.08802,5.76971,5.24899,5.23215,5.61897,5.18159,5.56116,5.17979,5.44834,5.49501,5.41135,5.20497,4.97205,5.23077,5.29127,5.05219,5.39744,5.28228,5.55414,5.52312,5.95637,5.93028,5.46303,5.51906,5.62108,5.26234,5.19383,5.36918,5.29655,5.47388,5.34895,5.20429,5.43235,5.40102,4.98395,5.2114,5.12248,5.82519,5.91128,5.50609,5.29201,5.28949,5.51174,5.39818,5.16295,5.50809,5.24754,5.30657,5.38073,5.28208,5.48469,5.23271,5.559,5.20871,5.96303,5.36988,5.76396,5.26124,5.66867,5.23706,5.71581,5.27984,5.16857,5.33678,5.49168,5.25155,5.30573,5.56986,5.56734,5.36857,5.98881,5.21994,5.57396,5.37344,5.38821,5.63938,5.3631,5.34968,5.33674,5.61158,5.68876,5.18625,5.19729,5.36648,5.53283,5.51891,5.04987,5.10356
"LOC101928185",4.46043,4.10742,4.43077,4.31579,4.45925,4.49987,4.41268,4.22101,4.53412,4.15741,4.23575,4.85298,4.2266,4.73134,4.3417,4.42044,4.34804,4.26383,4.3499,4.67052,4.29373,4.29102,4.41928,4.20983,3.90638,4.2978,4.75556,4.1724,4.62825,4.6308,4.31283,4.91692,4.49256,4.52809,4.49338,5.01379,4.201,4.53927,4.12851,4.59779,4.68796,4.31285,4.41152,4.55731,4.23783,4.36915,4.21031,4.28489,4.50886,4.08244,4.62988,4.39362,4.35304,4.68771,4.58824,4.42085,4.5961,4.67168,4.45267,4.47168,4.3393,4.52169,4.30063,4.30185,4.67149,4.54191,5.04156,4.56394,4.5695,4.67443,4.72532,4.63329,4.61382,4.78781,4.28619,4.64668,4.36242,4.3483,4.45687,4.48739,4.59617,4.65814,4.13129,4.43741,4.58649,4.31594,4.69674,4.52524,4.67137,4.17817,4.42104,4.41437,4.93104,4.36725,4.49387,4.18262,4.34453,4.39513,4.6654,4.48448
"BCKDHA",9.35555,8.9633,9.04743,9.23733,8.76677,8.37293,9.02951,8.38585,8.91409,8.61148,8.43359,9.24718,8.52607,9.01496,10.48115,8.636,8.51143,8.70647,9.2617,9.1682,9.47383,8.23091,9.13438,8.15948,8.90462,9.19884,8.38819,8.68176,9.19379,8.86175,9.34131,9.06284,8.60392,8.4953,8.91752,9.42137,9.86524,8.1433,8.2697,8.72565,8.94756,8.99617,8.96496,8.47702,9.0419,8.30187,9.58873,9.15089,9.77326,9.59413,8.91954,9.11635,8.58479,9.45803,8.76693,8.81154,9.62822,8.07807,8.88451,8.93932,8.43039,9.36043,9.07412,8.73294,9.70994,8.32154,9.56467,10.23924,9.45294,9.16279,8.84622,8.94419,8.8558,8.62154,8.53369,8.79014,8.82658,8.35848,9.08893,9.93307,8.21848,8.31775,9.44707,9.29748,9.53629,8.68463,8.04315,8.50765,8.56184,8.54,9.18334,8.30601,9.10785,8.70225,8.9356,9.41164,8.72579,8.76445,8.86361,8.95466
"C10orf95",5.29599,5.4518,5.89782,5.60055,5.56265,5.54742,5.95078,5.63381,5.83591,5.16074,6.31467,5.63515,5.70731,5.70794,6.07838,5.89265,5.75016,5.55466,5.85886,5.83513,5.76835,5.62894,5.49472,5.66125,5.44126,5.07847,5.86686,6.01169,5.1316,5.76375,5.53753,5.68792,6.09924,5.69657,5.42331,5.50284,5.82648,5.46564,5.93163,5.13791,5.69298,5.56821,5.68171,5.64463,5.93306,5.697,4.95799,5.53822,5.46787,5.67681,5.70345,5.47509,4.98987,6.13226,5.66739,5.5571,5.68175,5.71895,5.05503,5.74432,5.59221,5.25354,5.52713,5.65002,5.31025,5.26955,5.73963,5.69184,5.69113,5.97538,5.43356,6.17718,5.46619,5.85165,5.39415,5.56186,5.90593,5.81666,6.14963,5.91875,5.6547,5.90996,5.45258,5.5003,5.73669,5.78152,5.76601,5.73341,5.6551,5.47498,5.42714,5.78512,5.83602,6.05164,5.89559,5.45363,5.506,5.68401,5.65501,5.60241
"KCNN1",6.07911,6.11722,6.41721,6.51899,6.68969,6.65257,6.44405,6.09273,6.21554,6.1424,6.41095,6.61495,5.88763,6.90396,6.3994,6.37976,7.19083,6.14143,6.54911,6.48262,6.37982,6.48232,6.80426,6.28256,5.87046,6.32243,6.81379,6.0549,6.67818,6.08327,6.40147,6.7849,6.92514,7.03685,6.69925,6.30667,6.67041,6.24926,6.26368,6.5011,6.09258,6.50015,6.11782,6.68698,6.40497,6.34949,6.2819,6.19363,6.5671,6.47085,6.46788,6.30027,6.42333,6.3499,6.22842,6.47478,6.83101,6.6268,6.52554,6.57893,6.12201,6.48291,6.36496,6.33852,7.09608,6.51233,6.85436,6.40797,6.75491,6.73027,6.67608,6.14968,6.62431,6.40879,6.36947,6.21659,6.08573,5.93996,6.26562,6.44101,6.40804,6.35881,7.11141,5.94438,6.88408,6.13535,6.44418,6.74649,6.27083,6.28529,6.5401,6.40848,6.90148,6.00519,6.30476,6.12484,6.82723,6.69161,6.54047,6.40377
"PCDHAC2",4.61053,4.92263,4.62087,4.59226,4.84725,4.76671,4.57007,4.53379,4.68723,4.72034,4.75002,4.76006,4.84053,4.62571,4.8877,4.17272,4.52245,4.87594,5.28336,5.06492,4.3411,4.68011,4.45158,4.42248,5.02668,4.67146,4.50088,4.02914,4.47201,4.57006,5.82173,4.49411,4.37487,4.43206,4.54586,4.44343,4.5982,4.41338,4.52149,4.37986,4.51534,5.68909,4.37404,4.89527,4.91907,4.76208,4.94297,4.48532,4.68392,4.03866,5.89107,4.32631,4.61867,5.28504,4.42786,5.21138,4.855,4.60879,5.03582,7.04108,4.564,4.67305,5.13739,4.43362,5.0186,4.61361,5.2667,4.61889,4.92001,4.60523,5.05389,4.74619,4.73978,4.66563,4.28763,4.61587,4.93418,4.56299,4.85899,4.92097,4.74266,4.6475,5.67208,4.5667,5.41212,4.58014,5.29642,4.99175,4.2231,4.49623,4.72464,4.90475,4.72089,5.31236,4.44483,4.52101,4.83557,4.74395,4.93621,4.66853
"DPY19L3",7.92479,8.32148,8.64996,8.6779,9.1709,8.19469,8.91881,8.49365,8.1176,8.1716,8.80919,7.58447,8.69101,7.02859,10.44281,8.00987,8.97293,8.63379,7.68464,8.79265,8.11059,8.52485,8.08117,9.13242,8.59482,8.52534,8.1176,9.96608,8.46231,7.56866,8.54851,7.68579,8.72383,7.11998,7.97653,8.12317,8.60956,8.08697,8.47747,8.71981,9.36197,8.12056,7.47711,8.68173,8.75104,8.31816,9.27154,9.39757,7.95367,8.29572,8.34299,9.41585,7.88597,8.6949,8.73122,8.24906,8.74989,7.57916,9.17217,8.81133,7.8769,8.20135,8.60018,10.65517,8.12804,8.02272,7.34475,8.99471,7.80309,9.1031,7.71668,8.44035,9.23402,7.45926,8.16603,8.61793,8.51377,8.19127,9.1246,7.96574,8.2221,9.30373,8.0709,8.92227,8.67383,8.67389,9.19158,8.1223,8.22468,8.2231,9.25513,8.58519,8.84643,8.73076,7.9631,8.66278,7.79804,7.24419,9.21826,8.11767
"TSHZ2",5.96343,5.95453,5.18363,5.71776,5.13913,6.01881,5.23918,5.26413,5.23533,5.22459,5.33884,5.58774,4.74559,5.24271,4.9945,7.25447,4.88937,5.34399,5.72396,5.11934,5.81267,5.06169,5.07011,5.71113,5.42112,7.34709,5.14903,5.62509,5.22481,5.97281,5.04597,4.75034,5.54992,5.59555,6.02928,7.24013,5.42833,6.09276,5.6718,5.50863,5.44272,5.9268,6.16392,5.40338,4.9795,5.46691,6.44309,5.25764,5.189,5.80811,5.30449,5.52792,5.15241,5.83129,5.0622,6.60396,5.02988,5.26199,5.95969,5.6813,6.552,5.96994,5.51558,5.70669,5.72069,5.65272,5.44858,5.38105,5.06314,4.87485,5.61661,5.74724,5.29729,5.30039,6.05413,4.87741,5.30749,5.5775,5.13449,6.57929,5.73914,5.7102,5.45306,5.23084,5.43353,5.73621,4.76123,5.02149,5.41258,6.9362,5.13302,5.4778,4.99296,5.88966,6.27263,4.96495,5.91983,5.8557,5.26423,4.84939
"FMO5",5.22461,8.9711,4.96897,5.72877,5.46369,5.67856,10.38282,5.00964,6.40558,8.47127,9.52652,5.12059,9.08207,4.86343,8.99209,4.95043,4.6171,7.39331,5.27359,5.16426,5.19822,7.59369,7.71067,5.00548,7.96491,6.18999,5.01181,5.59249,5.99069,5.15555,9.23552,5.54633,7.13923,5.15514,4.69738,6.37787,6.00649,4.98085,6.62368,5.80083,7.02311,9.00201,5.1925,8.60725,8.52228,8.09484,5.32644,8.25379,5.1543,5.28075,8.12376,5.20936,4.82286,9.85311,7.0937,5.49259,8.85992,5.11718,9.12267,10.60091,5.06728,5.36376,8.59582,7.92518,5.0359,4.84355,4.87393,7.05164,5.45215,10.08886,4.8463,9.58233,7.35198,5.80824,5.40057,7.47648,8.30448,5.0797,9.82574,4.89788,5.1924,7.55804,5.46417,5.25107,7.12396,8.98928,10.5617,6.2948,4.72213,5.83104,7.72256,7.16478,6.49422,7.41685,5.96679,7.46117,4.80098,5.05409,7.00805,5.02308
"SERP2",5.44449,5.49497,5.70001,5.39427,5.6045,5.9488,5.19148,6.05674,5.94221,5.33942,5.31241,5.24272,4.54376,4.88314,4.94248,5.76086,5.97861,6.86267,5.52948,5.56636,5.72716,5.56608,5.83265,4.87985,5.69835,6.43108,4.80085,5.84615,6.60226,4.95878,5.32417,5.53181,5.47482,5.70087,6.14456,5.31018,4.86022,4.97513,5.71493,6.98221,7.77659,5.78845,6.17819,5.91002,4.80963,5.82971,5.2329,6.13538,4.86973,4.94534,5.76082,6.21602,5.22931,6.62302,5.24616,6.21136,4.99673,4.79614,6.05644,6.85279,5.98046,4.99289,5.38433,7.28202,6.12657,5.26936,6.16093,5.14024,4.85578,5.46475,5.73601,6.41492,5.1368,5.36279,5.05278,5.06853,4.84185,5.84554,6.79801,6.74108,5.43954,5.69296,6.00265,5.15068,5.29471,5.54288,6.93698,4.88584,5.76331,5.63762,5.14792,6.45633,6.0577,5.9809,5.63235,7.18676,4.60437,5.26502,5.42891,5.82146
"RSG1",5.61873,5.74572,5.76288,5.75789,6.11054,6.21403,5.90543,6.05352,5.57265,5.67396,6.02815,5.83979,6.2592,5.80224,5.75777,5.68471,5.70201,6.08451,6.14136,5.413,5.63575,5.85901,5.86326,5.57514,5.80048,5.44834,5.92462,5.37977,5.76327,5.83679,6.4415,5.43006,6.11815,6.00903,5.80949,5.59365,5.6292,5.40337,5.72177,5.59845,6.4106,5.69761,5.78829,5.93769,6.06477,5.72649,5.35561,5.74153,5.72231,5.66989,5.81303,5.70616,5.68591,5.89362,5.45228,5.8995,5.75355,6.08159,5.83054,6.02191,5.79369,5.951,5.76255,5.77793,5.97528,5.43954,6.28081,5.71198,6.10823,5.86864,6.01958,5.77518,5.70852,6.05619,5.62672,5.49912,5.95724,5.73868,6.23459,6.0621,5.85998,6.10932,6.25939,5.4323,6.12939,5.49286,6.42176,5.58887,5.84964,5.69359,5.4652,6.28089,6.15247,6.08174,5.57275,6.19705,6.1629,5.60163,6.10487,5.69257
"CUL4B",7.14588,7.2437,7.95801,8.12403,6.80674,7.50657,8.58916,7.30275,7.59196,7.21207,7.18599,7.74863,7.41865,7.73081,7.62477,7.3317,7.49566,7.7892,8.62747,7.9773,6.83736,6.72403,8.12658,7.91468,7.42964,7.4641,8.37168,7.96298,7.66865,6.81169,7.74994,8.29142,7.14199,8.02308,7.62786,7.55559,8.3408,6.71396,7.04176,8.97652,7.30734,8.23224,7.59221,7.77879,6.95708,6.69578,8.19316,7.97149,7.70109,8.12907,7.33905,6.84696,6.91292,5.99245,8.26318,7.30015,7.04334,6.33882,7.39234,7.545,7.74712,8.76174,6.21958,6.87978,7.36031,8.67842,6.81194,6.93745,7.75481,7.64442,7.42961,7.51314,8.61665,7.04983,6.69244,7.09676,7.33184,6.82133,6.99329,6.77442,7.09121,6.97604,7.04984,6.79148,7.98526,7.00307,8.31856,6.87612,7.23529,7.08016,6.75375,6.88569,7.27017,6.55364,7.34991,7.43102,7.44227,8.58171,8.96808,8.29492
"ZSCAN16",6.57348,6.91907,8.44227,6.83176,7.92633,6.48061,7.14767,5.5316,7.29371,7.97341,6.8814,6.1199,8.38186,6.08951,8.52915,5.91796,7.34569,7.66758,6.42521,6.42126,5.11585,7.1945,6.78387,5.9376,7.82658,6.01478,6.05417,9.1059,7.78919,6.84571,7.71224,8.2171,7.28998,5.05265,6.12517,7.99193,6.70107,6.27898,7.42076,6.74006,6.91911,8.28968,5.95186,7.15402,7.38115,7.37022,8.26597,8.09723,7.31399,5.73413,6.59528,7.20866,5.01156,7.28884,7.55569,6.9665,7.11764,6.62,7.71251,6.73461,5.98314,5.82553,6.9234,7.38876,5.70556,5.78578,6.00931,7.28824,6.13667,7.1685,5.87462,7.39119,7.3491,6.79691,6.2527,7.49829,7.41991,6.51144,7.32509,7.22354,6.84018,8.07086,6.20902,7.21512,7.55592,7.57626,7.32428,7.57858,5.03441,6.31065,8.31369,6.94177,7.95425,6.78861,6.18262,7.51677,5.46245,6.17931,7.59325,8.32541
"CCDC37-AS1",4.05532,4.32757,4.44935,4.11904,4.26934,4.00578,4.23234,4.47122,4.12847,4.45262,4.31817,4.32211,4.10155,4.20959,4.12528,4.0757,4.33405,4.12495,4.43864,4.11784,4.33981,4.06769,4.19642,4.10529,4.15586,4.16176,4.25561,4.21598,3.9709,4.09777,4.26042,4.32551,4.28956,4.48246,4.13038,4.11437,4.14972,4.16641,4.00531,4.02647,4.2517,4.25498,4.05576,4.23756,4.14342,4.32741,4.10145,4.04346,4.1593,4.09627,4.39965,4.2499,4.09598,4.30206,4.06819,4.2479,4.38944,4.5448,4.18028,4.14147,4.28196,4.25153,3.96485,4.19796,4.21344,4.42206,4.53116,4.25929,4.31395,4.27377,4.1567,4.10841,3.94414,4.36957,4.14524,4.3751,4.22691,4.0173,4.11558,4.32639,4.22023,4.25164,4.6273,4.31107,4.45467,4.08469,4.46723,4.31832,4.3201,4.23516,4.20997,4.50047,4.11677,4.11255,4.2785,4.1822,4.37983,4.36772,4.32813,4.12228
"SULT1A1",8.78284,10.0129,8.71452,8.78939,9.78449,9.05795,9.07142,9.43116,9.87647,9.21175,8.21997,8.65248,9.44188,7.1658,8.26996,8.74827,8.68418,11.26439,8.53788,8.79268,9.49676,10.32942,11.30214,7.2664,8.9815,8.66111,9.49592,8.27108,9.28236,8.9351,10.30395,8.84229,9.01386,8.31961,9.6998,8.5446,8.39072,9.39916,9.85517,9.77087,10.01029,8.38012,10.4969,9.6588,9.44148,9.52017,8.36433,9.89906,8.88521,8.4565,10.65189,9.60946,7.35884,10.4391,8.30704,9.76201,8.72425,9.07026,9.33046,11.31737,9.24364,7.9942,10.72821,10.84334,10.0048,8.19034,8.50138,9.39339,8.82395,9.29564,9.23269,9.21138,8.18618,9.56791,9.31203,9.52058,10.4708,10.93601,10.51488,8.64296,8.99674,9.65792,8.42855,9.27267,8.86659,11.2128,9.33404,8.85233,8.98574,8.88878,10.76555,9.33325,9.93052,10.20393,10.46573,11.37763,7.90572,9.15566,8.71683,8.8576
"KIF13B",7.07893,7.39741,8.15838,7.38232,8.38604,7.2634,7.15518,6.90758,8.96227,7.09612,7.51164,7.03827,8.65915,5.71092,7.47614,6.65111,6.28417,8.53243,7.03852,6.57959,6.71014,7.32613,7.29899,6.84506,8.24414,6.45112,7.70485,7.26082,6.85957,6.6177,7.47747,7.23537,8.26846,5.66387,6.92078,4.833,7.01177,7.18602,7.15131,6.48554,6.71259,8.21769,6.72501,7.74842,7.67658,8.61229,6.808,8.66184,6.86726,6.55452,7.18691,8.0222,6.54568,7.96477,7.69297,7.92416,8.86709,7.53823,7.09872,9.72139,6.67297,6.57565,7.36112,9.65486,7.49749,6.17389,6.40342,7.54101,7.42542,7.42099,6.58678,9.09881,6.91391,6.60026,7.13309,7.44492,7.89818,7.374,8.76045,6.6476,7.41363,7.59516,7.08498,6.90159,7.6066,7.51177,9.10887,7.25944,6.8745,7.3993,8.03304,8.16444,8.71073,8.5735,7.36978,7.81687,6.35952,6.68053,7.23381,7.38408
"LPGAT1",7.99936,8.48404,8.16434,7.18176,8.18511,7.52442,8.43395,8.66124,8.78975,8.68332,8.14262,7.71329,9.17709,6.95106,9.32813,7.57873,8.36328,9.04087,7.49237,7.9989,7.69805,9.0712,7.96357,7.98287,8.28233,8.2253,7.76689,9.06748,8.15576,7.9998,7.66868,8.47158,7.8775,6.90675,7.92409,8.44236,7.81951,8.26881,9.33285,8.00479,8.9807,7.35892,8.12809,7.97292,8.74202,7.82625,9.08179,8.61057,8.50546,7.80806,6.65241,8.0301,8.70534,8.42898,7.95265,8.0751,8.04819,8.871,8.10293,7.97983,8.45179,7.73752,8.26082,8.10525,8.14551,8.29099,6.88073,8.30603,7.34146,9.11298,7.74688,8.67987,8.11859,7.26091,8.21079,9.36882,9.38829,8.07037,8.75839,7.76775,8.88136,8.19954,8.5764,8.49552,6.73897,8.68983,7.96887,7.77244,7.81487,8.86872,7.94047,8.03133,8.20077,9.03079,8.31974,7.88846,7.08044,7.60824,7.74452,7.78406
"LOC100506083",3.06502,2.92267,3.06502,3.0794,3.01641,2.8061,3.05763,3.24688,3.71025,2.95595,3.08907,3.06845,2.9202,3.21863,3.12466,2.59627,2.92135,3.22831,3.03209,3.08267,3.16487,2.72768,2.88194,3.08164,3.09158,3.2717,3.11905,2.93451,3.15243,3.23123,3.14247,3.26563,3.23908,3.60948,4.10256,2.8262,2.75925,2.99693,3.00136,3.03266,3.0686,2.76807,2.92118,2.8454,3.05938,2.96235,3.1583,3.26624,3.12178,2.94195,3.61052,3.30764,3.3928,3.23249,2.8262,3.01534,2.8895,2.9671,2.99531,3.08446,2.89035,2.9536,2.97892,2.86062,3.00961,3.25381,2.97098,2.8908,3.3213,3.06966,2.91233,3.43473,3.191,2.8061,3.0898,3.21277,3.62827,3.19063,3.02098,2.99619,2.76379,2.86411,3.0705,6.24314,3.46791,3.4179,2.89429,3.16334,3.12583,2.75867,3.37717,2.93914,3.06926,3.06468,3.51795,2.79177,3.29899,3.1974,3.14595,3.18568
"NUAK1",9.35234,8.96332,8.51642,9.94321,9.95139,10.88185,8.41802,9.66189,8.38401,8.77715,8.66685,8.24413,8.55637,6.2531,8.79231,8.48817,11.55322,8.29598,7.95482,8.56217,9.8798,9.78958,8.04204,9.47802,8.62485,9.15815,7.65171,9.78799,9.64311,9.9566,7.47813,8.42231,10.04159,8.16727,8.79274,7.09875,10.42468,10.5373,9.61261,8.84114,8.44284,9.83432,8.61998,8.50031,9.69248,9.74233,10.75917,9.19144,9.50967,9.81137,8.41504,10.50511,9.99969,9.104,9.63512,10.05418,8.29611,8.36732,9.2601,7.67499,7.92008,9.61836,7.88844,7.57546,9.95651,9.73707,8.5838,8.94564,8.06513,8.87215,8.29437,7.70445,9.32761,8.5748,9.50548,9.29819,10.43476,9.443,8.729,7.20882,8.49811,9.70088,8.12911,8.39288,9.33682,8.51378,7.35908,9.12332,9.93128,10.01123,8.11543,9.71436,9.17967,8.85314,10.15533,8.86112,9.80982,8.25379,7.67766,7.96069
"LINC00593",4.19585,4.1667,4.29678,4.14514,4.17616,4.11823,4.16799,4.22827,4.05078,4.10783,4.69266,4.18868,4.16036,4.12163,4.4406,4.09072,4.13497,4.26034,4.13857,4.00373,4.29393,4.24571,4.04611,4.22089,4.08501,4.14995,4.11726,3.87156,4.15478,4.17966,4.12504,4.1672,4.10468,4.2028,4.11146,4.3479,4.24671,4.29723,4.34809,3.94488,4.33354,4.11531,4.14412,4.1416,4.44124,4.38929,3.86193,4.00378,4.10012,4.14833,4.01658,4.3245,4.25978,4.33331,4.18542,4.21259,4.21018,4.26254,4.1739,4.16354,4.18426,4.23878,4.39202,4.17316,4.19426,4.11396,4.28546,4.18446,4.2541,4.20102,4.31889,4.14989,4.18888,4.38075,4.04332,4.03083,4.24332,4.23058,4.24794,4.20588,4.20116,4.21297,4.39482,4.36979,4.18294,4.12052,4.09503,4.21645,4.33429,4.03415,4.27672,4.61896,4.23391,4.29564,4.2311,4.16848,4.20345,4.02088,4.10512,4.06041
"TTC23",6.91578,6.92844,6.52929,7.44612,6.80301,7.74101,6.37812,7.20997,5.9088,6.5751,6.7038,7.05126,7.23272,6.77933,6.26721,7.54286,7.67669,6.80359,7.00368,6.06762,7.19621,6.54588,6.95521,7.96035,6.78827,7.09357,6.55644,5.76634,6.74465,7.44101,7.13324,5.61604,6.86827,6.82289,6.67356,8.06946,6.6535,7.3321,7.05009,6.18095,6.13494,6.93541,7.4317,6.04217,6.81021,6.6656,7.26309,5.91868,6.90477,6.93297,6.85515,6.874,6.91281,7.08025,6.40209,7.7036,6.97945,7.2004,6.42665,7.00883,7.56601,6.4191,7.15479,6.95989,6.75616,6.77766,6.73223,6.60708,6.87971,6.59325,6.75035,6.80645,5.95121,7.01283,6.9182,7.31549,6.31575,6.7381,6.65085,7.37681,6.64506,6.59748,7.40927,7.2276,6.84599,6.23128,7.80395,7.02899,7.08989,7.25142,6.86589,6.73495,6.1956,6.39333,7.21057,6.27748,7.91561,6.86915,6.34803,6.33757
"SKIL",6.4545,6.9735,6.0333,7.25308,6.76298,7.7267,7.15817,7.84249,6.29209,7.22186,6.61976,6.66423,6.37109,6.3792,7.50636,7.38899,7.26347,7.27793,6.60786,7.54884,7.18797,7.18503,6.56349,7.32791,6.61446,8.38163,7.09281,6.68812,7.33837,7.64335,6.23949,9.18134,6.68934,6.81805,7.15971,7.22484,7.54797,7.43727,6.76882,7.06636,7.0977,6.74099,7.43399,6.72321,6.33209,7.07589,7.42965,7.26791,7.37958,7.58828,6.13028,7.04818,6.74761,6.97775,7.46826,6.5629,7.38014,6.12855,7.11972,6.95991,8.39882,7.46168,6.88116,7.4633,7.57532,8.34227,6.69451,7.87888,6.3981,6.86606,6.64854,6.79757,8.34922,6.07982,8.26361,6.66055,6.90758,7.39341,7.25315,6.83774,7.08869,7.50817,5.80929,7.09105,7.11171,7.54817,8.19557,6.58965,7.50115,8.52089,7.57995,7.33675,7.95293,7.21695,7.59128,6.6668,6.78077,6.3788,7.4513,6.45697
"TMEM19",8.06648,7.82627,8.13977,7.87481,7.6948,8.56136,7.84877,7.77492,7.93399,7.99274,7.60425,8.70244,8.1515,8.30235,8.2969,8.11732,8.34146,8.38107,9.71317,7.85663,8.16883,7.77274,7.38177,8.42753,7.66179,9.12535,8.47272,7.77753,7.53763,9.38671,7.29439,7.97746,7.73126,7.69747,7.68567,8.34793,7.70613,7.78727,7.71721,7.74665,7.74931,8.08751,7.76892,7.83412,7.2493,7.88888,7.82591,7.90291,7.37061,9.0234,7.58068,7.87302,8.19699,7.19734,8.76324,8.54519,8.2707,6.98736,7.76048,7.88769,8.51166,9.26428,7.59329,7.85506,7.42347,8.4006,7.80693,7.33273,8.32345,7.29876,8.22533,7.26411,8.00278,8.02352,8.82771,7.55567,7.69664,8.09696,7.77632,7.65864,8.10566,8.20388,8.35864,7.90172,7.62361,7.98451,8.87365,7.78868,7.46872,9.05472,8.48319,8.51507,8.41382,8.00041,8.29223,8.14457,8.35445,8.72483,8.18932,8.61064
"GNG12",9.73983,9.02821,6.51923,7.44808,7.41043,7.8399,8.55586,8.05124,6.33024,8.84063,9.05846,7.61054,8.87974,6.61296,8.73171,7.93651,7.09337,9.82957,8.25822,7.62051,9.9318,8.74579,8.31485,8.95475,9.16091,8.92412,7.80717,5.94219,7.15258,9.42418,8.48611,7.39708,6.91044,7.27502,7.14362,8.19049,7.6268,8.88804,8.39828,7.80389,9.59649,7.09257,10.01209,7.52122,8.01125,8.77902,7.022,7.19388,8.32754,8.90872,8.55369,8.36141,8.69774,7.85187,7.59914,8.05995,7.57745,7.10018,7.50503,8.64608,9.39021,8.60994,8.52075,9.07356,7.59543,8.27488,7.67845,9.35408,7.40366,8.04746,7.56881,8.0099,8.32018,8.06951,9.56406,8.69612,7.80468,8.59931,8.42452,7.29557,8.71656,7.70404,8.31669,9.17466,7.43631,8.29112,9.04296,7.59863,8.74627,9.60092,7.92037,8.0765,6.81837,7.96162,9.21028,7.24368,8.15587,7.48398,8.02449,5.74781
"F2",4.66096,5.02818,5.26784,5.018,5.0428,5.50791,4.93361,5.39788,6.4817,4.91736,5.44189,5.27181,4.74956,5.27208,5.16019,4.87086,5.37177,4.83266,5.48933,5.39278,5.18011,5.05671,4.64965,5.37592,4.91854,5.14304,4.89584,4.63937,4.78525,5.03201,4.8727,4.71825,5.1138,5.16389,4.95599,5.99164,5.67178,5.18647,5.10319,4.88616,5.12569,5.1063,4.99612,5.21168,4.9305,5.25664,4.56213,6.38263,5.53035,5.40837,5.74482,4.87539,5.28681,5.15324,4.68206,5.26308,5.24102,5.91139,4.82649,5.5054,5.31226,5.19192,4.98508,4.96841,5.29784,4.5589,5.6766,5.28244,5.09931,5.07383,5.19654,4.86806,5.09647,5.07422,4.99951,5.02343,5.09554,5.41869,4.98941,5.28825,5.09055,5.34827,5.62579,5.09732,5.4857,5.28263,5.55922,5.56714,5.1527,5.02767,4.9538,4.94202,5.9299,5.12875,5.02309,5.31567,5.19537,5.09682,5.14224,4.83856
